NORAD ID,Satellite Name,Type,Mode,Downlink (MHz),Uplink (MHz),Inverted
44316,2019-032G - Unknown Satellite,Transmitter,FM,401.3050,N/A,False
44884,2019-093F,Transmitter,FM,401.5460,N/A,False
57183,2023-091T,Transmitter,LoRa,435.0500,N/A,False
58820,2024-016A,Transmitter,FM,401.9500,N/A,False
67253,2025-313F,Transmitter,FM,436.0900,N/A,False
67253,2025-313F,Transmitter,FM,435.7920,N/A,False
57582,23117C,Transmitter,FSK,400.4500,N/A,False
58555,23193C,Transmitter,FM,401.6120,N/A,False
64881,239Alferov,Transmitter,DVB-S2,10473.3500,N/A,False
64881,239Alferov,Transmitter,GFSK,436.2700,N/A,False
58923,24024G,Transmitter,FM,2246.4000,N/A,False
60745,24153A,Transmitter,FM,400.4550,N/A,False
60745,24153A,Transmitter,FM,400.0550,N/A,False
98878,3CAT-4,Transmitter,GMSK,437.3500,N/A,False
46292,"3CAT-5/A, FSSCat A",Transmitter,FM,401.3370,N/A,False
46293,"3CAT-5/B, FSSCat B",Transmitter,FM,401.3770,N/A,False
98517,3UCUBED-A,Transmitter,GFSK,437.0100,N/A,False
98500,6GSTARLAB,Transmitter,BPSK,2275.0000,N/A,False
57197,A-SEANSAT-PG1,Transmitter,GMSK USP,401.5230,N/A,False
57197,A-SEANSAT-PG1,Transmitter,GMSK USP,401.6338,N/A,False
55107,AAC-AIS-SAT-1,Transmitter,FM,161.8630,N/A,False
55107,AAC-AIS-SAT-1,Transmitter,FM,157.2620,N/A,False
56996,AAC-AIS-SAT2,Transmitter,BPSK,2241.0000,N/A,False
58997,AAC-AIS-SAT3,Transmitter,BPSK,2241.0000,N/A,False
39087,AAUSAT 3,Transmitter,CW,437.4250,N/A,False
98501,AC1-001,Transmitter,FM,2255.0000,N/A,False
98502,AC1-002,Transmitter,FM,2255.0000,N/A,False
98503,AC1-003,Transmitter,FM,2255.0000,N/A,False
59588,ACS3,Transmitter,FM,2268.0000,N/A,False
59588,ACS3,Transmitter,GMSK,401.5000,N/A,False
98574,ADDCUBE,Transmitter,FM,2412.0000,N/A,False
98574,ADDCUBE,Transmitter,FM,435.5000,N/A,False
98698,AE1c,Transmitter,FM,2228.0000,N/A,False
98698,AE1c,Transmitter,FM,922.0000,N/A,False
98698,AE1c,Transmitter,FM,2277.3000,N/A,False
98698,AE1c,Transmitter,FM,8340.0000,N/A,False
98699,AE1d,Transmitter,FM,922.0000,N/A,False
98699,AE1d,Transmitter,FM,2228.0000,N/A,False
98699,AE1d,Transmitter,FM,2277.3000,N/A,False
98699,AE1d,Transmitter,FM,8340.0000,N/A,False
38760,AENEAS,Transmitter,AFSK,437.6000,N/A,False
68506,AEPEX,Transmitter,OQPSK,2405.0000,N/A,False
68506,AEPEX,Transmitter,OQPSK,2405.0000,N/A,False
68506,AEPEX,Transmitter,GFSK,437.3250,N/A,False
68506,AEPEX,Transmitter,GFSK,437.3250,N/A,False
59291,AEROCUBE 16B,Transmitter,FM,2225.0000,N/A,False
